accuracy_after_ft,accuracy_before_ft,accuracy_drop,accuracy_recovery,achieved_sparsity_global,error,method,pruning_method,run_dir,seed,target_sparsity
0.7166,0.7166,0.005900000000000016,0.0,0.09990530303030302,,bp_antidecouple,composite_twoaxis_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190043_13530278,789,0.1
0.0314,0.0314,0.6911,0.0,0.2961647727272727,,bp_antidecouple,composite_twoaxis_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190043_13530278,789,0.3
0.0145,0.0145,0.7080000000000001,0.0,0.4817708333333333,,bp_antidecouple,composite_twoaxis_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190043_13530278,789,0.5
0.01,0.01,0.7125,0.0,0.6801609848484849,,bp_antidecouple,composite_twoaxis_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190043_13530278,789,0.7
0.01,0.01,0.7125,0.0,0.7765151515151515,,bp_antidecouple,composite_twoaxis_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190043_13530278,789,0.8
0.01,0.01,0.7125,0.0,0.875,,bp_antidecouple,composite_twoaxis_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190043_13530278,789,0.9
0.7202,0.7202,0.005900000000000016,0.0,0.09990530303030302,,bp_antidecouple,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190044_13530277,456,0.1
0.0489,0.0489,0.6772,0.0,0.2999526515151515,,bp_antidecouple,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190044_13530277,456,0.3
0.011,0.011,0.7151,0.0,0.4817708333333333,,bp_antidecouple,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190044_13530277,456,0.5
0.01,0.01,0.7161,0.0,0.6775568181818182,,bp_antidecouple,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190044_13530277,456,0.7
0.01,0.01,0.7161,0.0,0.7755681818181818,,bp_antidecouple,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190044_13530277,456,0.8
0.01,0.01,0.7161,0.0,0.8714488636363636,,bp_antidecouple,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190044_13530277,456,0.9
0.7154,0.7154,0.010699999999999932,0.0,0.09990530303030302,,bp_antidecouple,taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190044_13530277,456,0.1
0.0139,0.0139,0.7121999999999999,0.0,0.2980587121212121,,bp_antidecouple,taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190044_13530277,456,0.3
0.01,0.01,0.7161,0.0,0.48200757575757575,,bp_antidecouple,taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190044_13530277,456,0.5
0.01,0.01,0.7161,0.0,0.6803977272727273,,bp_antidecouple,taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190044_13530277,456,0.7
0.01,0.01,0.7161,0.0,0.7760416666666666,,bp_antidecouple,taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190044_13530277,456,0.8
0.01,0.01,0.7161,0.0,0.8752367424242424,,bp_antidecouple,taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190044_13530277,456,0.9
0.4243,0.4243,0.30179999999999996,0.0,0.09990530303030302,,bp_antidecouple,composite,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190044_13530277,456,0.1
0.0654,0.0654,0.6607,0.0,0.2999526515151515,,bp_antidecouple,composite,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190044_13530277,456,0.3
0.01,0.01,0.7161,0.0,0.5,,bp_antidecouple,composite,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190044_13530277,456,0.5
0.01,0.01,0.7161,0.0,0.6998106060606061,,bp_antidecouple,composite,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190044_13530277,456,0.7
0.01,0.01,0.7161,0.0,0.7956912878787878,,bp_antidecouple,composite,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190044_13530277,456,0.8
0.01,0.01,0.7161,0.0,0.8908617424242424,,bp_antidecouple,composite,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190044_13530277,456,0.9
0.5859,0.5859,0.1402,0.0,0.09990530303030302,,bp_antidecouple,cap_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190044_13530277,456,0.1
0.0148,0.0148,0.7112999999999999,0.0,0.2980587121212121,,bp_antidecouple,cap_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190044_13530277,456,0.3
0.01,0.01,0.7161,0.0,0.48200757575757575,,bp_antidecouple,cap_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190044_13530277,456,0.5
